"","x"
"Billy.Bob.Thornton",0.00129484504848695
"Peter.Stormare",0.000953574866594014
"Keith.David",5.44433917240729e-06
"Winona.Ryder",3.37410869742962e-06
"Octavia.Spencer",0.00251367295118451
"Sam.Shepard",3.78265731912516e-05
"Mel.Gibson",0.00107495891602312
"Nick.Nolte",0.000384680606837583
"Celia.Weston",0.000130421725241604
"William.H..Macy",8.0608298789749e-06
"Edward.Norton",2.12314127352566e-07
"Tim.Blake.Nelson",0.00206120073345433
"Michael.Peña",0.000678186409879048
"Luis.Guzmán",0.000430787631223942
"Steve.Martin",0.00029824925977649
"Jennifer.Lopez",0.00063763135893282
"Will.Ferrell",9.68037872831831e-06
"Justin.Long",9.27535928355578e-05
"Eva.Mendes",0.000351116736175602
"Jessica.Alba",0.00013018145838447
"Drew.Barrymore",0.000912124430474927
"Robert.Patrick",0.000640844609477514
"Luke.Wilson",0.00101761170601112
"Susan.Sarandon",0.00266968910840211
"Terence.Stamp",0.000416725750528757
"Catherine.Keener",0.00135232527384641
"Cloris.Leachman",1.00116353381348e-05
"Christian.Slater",4.97882680290185e-05
"Sandra.Bullock",0.00115676884152929
"Ed.Harris",3.44713068779417e-05
"Laura.Linney",0.000138254191038322
"Julia.Roberts",0.000615041934446309
"Vince.Vaughn",1.75741741892366e-06
"Jeff.Daniels",7.92760381052273e-05
"Viggo.Mortensen",0.00200786011881796
"Rob.Schneider",0.000212274110536428
"Bruce.McGill",0.00060475412587651
"Diane.Keaton",0.000187520260470344
"Robert.Duvall",0.000209376662146885
"Denzel.Washington",0.00313609310763587
"Robert.De.Niro",0.00124354409551766
"Harvey.Keitel",1.99312813903777e-05
"James.Caan",2.85029633563514e-05
"Sylvester.Stallone",0.000247745014684332
"Terry.Crews",4.59020119492835e-05
"Forest.Whitaker",0.000146499630072482
"Kevin.Pollak",9.89175008028764e-05
"Hugh.Grant",0.00107237273416376
"Greg.Kinnear",2.90644797322667e-05
"Zooey.Deschanel",7.40224963826912e-05
"Jon.Lovitz",0.000498185727296997
"John.Leguizamo",0.000865493717963379
"Seann.William.Scott",0.00158306927338205
"Queen.Latifah",0.0011218166189786
"Jason.Lee",0.000343672451579104
"Danny.DeVito",0.000158898745214024
"Anna.Faris",0.000549179013775487
"Sean.Penn",0.000558098593910026
"Jennifer.Coolidge",0.00013993300145748
"Adam.Sandler",0.0031813903267332
"Meryl.Streep",0.000304610253817049
"Gene.Hackman",1.19901053037986e-05
"Al.Pacino",2.68787114764565e-05
"David.Paymer",2.67661914049079e-05
"Dermot.Mulroney",0.000223764924766152
"Jennifer.Aniston",0.000116634618059368
"Alan.Arkin",0.000409946750980153
"David.Koechner",0.000306370327797382
"Patricia.Clarkson",0.000727076121310782
"Danny.Trejo",6.8182325167179e-06
"Dan.Hedaya",7.06223222917159e-05
"Kevin.Hart",0.00237748701812835
"Sean.Connery",0.000737646193379494
"John.C..McGinley",7.57681728963802e-05
"Richard.Gere",0.000305968526676451
"Bob.Balaban",6.80801675318464e-05
"Charlie.Sheen",0.0011089935401371
"Christopher.Lloyd",0.000342900476882591
"Morris.Chestnut",0.000276717543293119
"Toni.Collette",0.000337920359349222
"Ice.Cube",0.00022425502148082
"Ethan.Hawke",7.22933437691428e-07
